name,population,country
Tokio,38.05,Japan
Jakarta,32.27,Indonesia
Delhi,27.28,India
Manila,24.65,Philipines
Seol,24.21,South Korea
Shanghai,24.115,China
Mumbai,23.265,India
New York City,21.57,US
Beijing,21.25,China
Sao Paulo,21.1,Brasil
