name,url,allies killed,axis killed,allies_destroyed_tanks,allies_destroyed_airplane,allies_destroyed_guns,axis_destroyed_tanks,axis_destroyed_airplane,axis_destroyed_guns,belligerents.allies,belligerents.axis,axis_leaders,allies_leaders,result_prop,result,axis_planes,axis_guns,axis_tanks,axis_infantry,allies_planes,allies_guns,allies_tanks,allies_infantry,level,parent,latlon,start,end
Battle of Westerplatte,https://en.wikipedia.org/wiki/Battle_of_Westerplatte,21,400,0,0,0,0,0,0,Poland,Germany   Danzig,"Henryk Sucharski,Franciszek Dąbrowski","Friedrich-Georg Eberhardt,Gustav Kleikamp,Wilhelm Henningsen  ",1,axis,60,,,3400,,,,240,100,German Invasion of Poland,"54.4075,18.67139",1939-09,1939-09
Battle of Mokra,https://en.wikipedia.org/wiki/Battle_of_Mokra,500,800,1,0,0,50,0,0,Poland,Germany,"Georg-Hans Reinhardt,Friedrich Kirchner",Julian Filipowicz,1,allies,,,,,,,,,100,German Invasion of Poland,"50.964643,18.917042",1939-09,1939-09
Battle of Mlawa,https://en.wikipedia.org/wiki/Battle_of_Mlawa,1200,1800,0,0,0,72,0,0,Poland,Germany,Georg von Küchler,"Wilhelm Liszka-Lawicz,Emil Krukowicz-Przedrzymirski",1,axis,,,,,,,,,100,German Invasion of Poland,"53.114139,20.383107",1939-09,1939-09
Battle of Tuchola Forest,https://en.wikipedia.org/wiki/Battle_of_Tuchola_Forest,1600,506,0,0,0,0,0,0,Poland,Germany,"Günther von Kluge,Heinz Guderian,Adolf Strauss","Władysław Bortnowski,Stanisław Grzmot-Skotnicki,Józef Werobej,Juliusz Drapella",1,axis,,,,,,,,,100,German Invasion of Poland,"53.664733,18.246738",1939-09,1939-09
Battle of Jordanów,https://en.wikipedia.org/wiki/Battle_of_Jordan%C3%B3w,0,0,3,0,0,70,0,0,Poland,Germany,Eugen Beyer ,"Stanisław Maczek,Jan Wójcik",0.5,axis,,109,498,5000,,16,58,50000,100,German Invasion of Poland,"49.650579,19.832310",1939-09,1939-09
Battle of Borowa Góra,https://en.wikipedia.org/wiki/Battle_of_Borowa_G%C3%B3ra,663,650,0,0,0,0,0,0,Poland,Germany,Erich Hoepner,Ludwik Czyżewski,1,axis,,,800,,,,,2000,100,German Invasion of Poland,"51.368929,19.353395",1939-09,1939-09
Battle of Wizna,https://en.wikipedia.org/wiki/Battle_of_Wizna,660,900,0,0,0,10,1,0,Poland,Germany,"Heinz Guderian,Ferdinand Schaal","Władysław Raginis,Stanisław Brykalski  ",1,axis,,657,350,42200,,6,,720,100,German Invasion of Poland,"53.196206,22.381763",1939-09,1939-09
Battle of Piotrków Trybunalski,https://en.wikipedia.org/wiki/Battle_of_Piotrk%C3%B3w_Trybunalski,60,60,2,0,0,17,0,2,Poland,Germany,Edmund Karpow,Erich Hoepner,0.5,allies,,,,,,,,,100,German Invasion of Poland,"51.404803,19.698756",1939-09,1939-09
Battle of Hel,https://en.wikipedia.org/wiki/Battle_of_Hel,,,0,0,0,0,53,0,Poland,Germany,Friedrich-Georg Eberhardt,"Józef Unrug,Włodzimierz Steyer,Adam Mohuczy",1,axis,,,,38000,,46,,2800,100,German Invasion of Poland,"54.625479,18.791930",1939-09,1939-10
Battle of the Bzura,https://en.wikipedia.org/wiki/Battle_of_the_Bzura,20000,8000,0,0,0,50,0,20,Poland,Germany,"Gerd von Rundstedt ,Johannes Blaskowitz,Walther von Reichenau,Günther von Kluge,Wilhelm Ulex,Erich Hoepner","Tadeusz Kutrzeba ,Władysław Bortnowski,Edmund Knoll-Kownacki,Mikołaj Bołtuć,Roman Abraham,Leon Strzelecki",1,axis,,,500,425000,,,,225000,100,German Invasion of Poland,"52.23333,19.36667",1939-09,1939-09
Siege of Warsaw,https://en.wikipedia.org/wiki/Siege_of_Warsaw_(1939),140000,7500,0,0,0,0,0,0,Polish Republic,Nazi Germany,"Johannes Blaskowitz,Georg von Küchler,Werner von Fritsch   †,Walter Petzel","Juliusz Zulauf,Juliusz Rómmel,Marian Porwit,Tadeusz Kutrzeba",0.5,axis,,,,175000,,,,124000,100,German Invasion of Poland,"52.23,21.01083",1939-09,1939-09
Battle of Lwów,https://en.wikipedia.org/wiki/Battle_of_Lw%C3%B3w_(1939),,488,0,0,0,0,0,0,Poland,Germany     Soviet Union,"Ferdinand Schörner,Filipp Golikov","Władysław Langner,Franciszek Sikorski",1,axis,,,200,175000,,30,,8800,100,German Invasion of Poland,"49.839975,24.020519",1939-09,1939-09
