name,url,allies killed,axis killed,allies_destroyed_tanks,allies_destroyed_airplane,allies_destroyed_guns,axis_destroyed_tanks,axis_destroyed_airplane,axis_destroyed_guns,belligerents.allies,belligerents.axis,axis_leaders,allies_leaders,result_prop,result,axis_planes,axis_guns,axis_tanks,axis_infantry,allies_planes,allies_guns,allies_tanks,allies_infantry,level,parent,latlon,start,end
Battle of Tomaszów Lubelski,https://en.wikipedia.org/wiki/Battle_of_Tomasz%C3%B3w_Lubelski,870,929,0,0,0,36,0,0,Poland,Germany,"Leonard Wecker,Wilhelm List,Walther von Reichenau,Ewald von Kleist,Ernst Busch","Antoni Szylling,Tadeusz Piskor,Stefan Dąb-Biernacki,Emil Krukowicz-Przedrzymirski,Władysław Anders,Jan Kruszewski",1,axis,,,800,45000,,,400,70000,100,German Invasion of Poland,"50.45,23.41667",1939-09,1939-09
Battle of Krasnobród,https://en.wikipedia.org/wiki/Battle_of_Krasnobr%C3%B3d,,,0,0,0,0,0,0,Poland,Germany,Rudolf Koch-Erpach,"Bohdan Stachlewski,Tadeusz Gerlecki",1,allies,,,,20000,,,,22500,100,German Invasion of Poland,"50.542183,23.212597",1939-09,1939-09
Battle of Kock,https://en.wikipedia.org/wiki/Battle_of_Kock_(1939),300,500,0,0,0,0,0,0,Poland,Germany,Franciszek Kleeberg,Gustav Anton von Wietersheim,0.5,allies,,,400,30000,,,,18000,100,German Invasion of Poland,"51.651201, 22.459829",1939-10,1939-10
Battle of Wilno,https://en.wikipedia.org/wiki/Battle_of_Wilno_(1939),,,0,0,0,0,0,0,Soviet Union,Poland,"Mikhail Kovalyov,Pyotr Akhlyustin,Semyon Zybin",Jarosław Okulicz-Kozaryn,1,axis,,,200,20000,,22,,6500,100,Soviet invasion of Poland,"54.667,25.317",1939-09,1939-09
Battle of Grodno,https://en.wikipedia.org/wiki/Battle_of_Grodno_(1939),57,644,0,0,0,0,0,0,Soviet Union,Poland,"Ivan Boldin,Mikhail Petrov ","Wacław Przeździecki,Józef Olszyna-Wilczyński,Edmund Heldut-Tarnasiewicz",1,axis,,,,,,2,,4000,100,Soviet invasion of Poland,"53.667383, 23.819975",1939-09,1939-09
Battle of Szack,https://en.wikipedia.org/wiki/Battle_of_Szack,81,350,7,0,3,0,0,0,Soviet Union,Poland,Colonel Iwan Russijanow,Wilhelm Orlik-Rückemann,0.5,allies,,,,15000,,,,4000,100,Soviet invasion of Poland,"51.496515, 23.923301",1939-09,1939-09
Battle of Wytyczno,https://en.wikipedia.org/wiki/Battle_of_Wytyczno,80,200,4,0,0,0,0,0,Soviet Union,Poland,Col. Vasily Sokolov,Wilhelm Orlik-Rueckemann,1,axis,,200,70,1200,,13,,2000,100,Soviet invasion of Poland,"51.430044, 23.254205",1939-10,1939-10
Battle of Suomussalmi,https://en.wikipedia.org/wiki/Battle_of_Suomussalmi,750,27500,0,0,0,43,0,29,Finland,Soviet Union,Hjalmar Siilasvuo,"Ivan Dashichev  ,Alexei Vinogradov",1,axis,,,,11500,,,100,55000,100,Soviet invasion of Finland,"64.884492, 28.911055",1939-12,1940-01
Battle of Summa,https://en.wikipedia.org/wiki/Battle_of_Summa,,,0,0,0,0,0,0,Finland,Soviet Union,Carl Gustaf Emil Mannerheim Harald Öhquist,Semyon Timoshenko,1,allies,,,,15000,,,,300000,100,Soviet invasion of Finland,"64.250344, 35.413980",1939-12,1940-02
Battle of Raate Road,https://en.wikipedia.org/wiki/Battle_of_Raate_Road,402,1001,0,0,0,0,0,0,Finland,Soviet Union,Hjalmar Siilasvuo,Alexei Vinogradov,1,axis,,,,10000,,,,25000,100,Soviet invasion of Finland,"62.612258, 29.859834",1940-01,1940-01
Battle of Kollaa,https://en.wikipedia.org/wiki/Battle_of_Kollaa,1500,8000,0,0,0,0,0,0,Finland,Soviet Union,"Lauri Tiainen,Antero Svensson","Ivan Khabarov,Grigori Shtern,M.S. Yevstigneyev,Dmitri Kozlov,V.G. Vorontsov",1,axis,,,,15000,,,100,60000,100,Soviet invasion of Finland,"61.732620, 32.190408",1939-12,1940-03
Battle of Petsamo,https://en.wikipedia.org/wiki/Battle_of_Petsamo_(1939),89,181,0,0,0,0,0,0,Finland,Soviet Union,"Captain,Antti Pennanen","Kirill Meretskov,Valerian Frolov",1,allies,,,,750,,,800,30000,100,Soviet invasion of Finland,"65.032899, 24.839115",1939-11,1940-03
Defense of Brest Fortress,https://en.wikipedia.org/wiki/Defense_of_Brest_Fortress,2000,429,0,0,0,0,0,0,Soviet Union,Germany,Fritz Schlieper,"Pyotr Gavrilov,Ivan Zubachyov,Andrej Kižavataŭ,Yefim Fomin   ",1,axis,,,800,17000,,,3,9000,100,Axis invasion of the Soviet Union,"52.097253, 23.734589",1941-06,1941-06
Battle of Białystok-Minsk,https://en.wikipedia.org/wiki/Battle_of_Bia%C5%82ystok-Minsk,341073,12157,4799,1669,9427,101,276,0,Soviet Union,Germany,"Fedor von Bock,Hermann Hoth,Günther von Kluge,Heinz Guderian","Dmitry Pavlov,Vladimir Klimovskikh,Ivan Boldin",0.5,axis,,,1936,750000,,14171,4522,671165,100,Axis invasion of the Soviet Union,"53.901208, 27.554918",1941-06,1941-07
Operation Rentier,https://en.wikipedia.org/wiki/Operation_Rentier,,,0,0,0,0,0,0,Soviet Union,Germany,,,1,axis,,,,,,,,,100,Axis invasion of the Soviet Union,"61.732620, 32.190408",1941-06,1941-06
Baltic Operation,https://en.wikipedia.org/wiki/Baltic_Operation,75202,,2523,990,0,0,0,0,Soviet Union,Germany,Wilhelm Ritter von Leeb,Fyodor Kuznetsov,1,axis,1070,7673,1389,655000,1210,5573,1393,498000,100,Axis invasion of the Soviet Union,,1941-06,1941-07
Battle of Raseiniai,https://en.wikipedia.org/wiki/Battle_of_Raseiniai,,,704,0,0,0,0,0,Soviet Union,Germany,Georg-Hans Reinhardt,"Fyodor Kuznetsov,Alexey Kurkin,Yegor Solyankin  ",1,axis,,,245,,,,749,,100,Axis invasion of the Soviet Union,"55.381566, 23.116079",1941-06,1941-06
Battle of Brody (1941),https://en.wikipedia.org/wiki/Battle_of_Brody_(1941),,,800,0,0,200,0,0,Soviet Union,Germany,"Paul Ludwig Ewald von Kleist,Hyazinth Graf Strachwitz","Mikhail Kirponos,Maksim Purkayev,Ivan Muzichenko,Mikhail Potapov",1,axis,,,750,,,,3500,,100,Axis invasion of the Soviet Union,"50.081569, 25.148242",1941-06,1941-06
Continuation War,https://en.wikipedia.org/wiki/Continuation_War,305000,86400,0,0,0,0,0,0,"Soviet Union 
 
   United Kingdom [Note 2]","Finland   Germany 
 
 
   Italy [Note 1]","C.G.E. Mannerheim,Erik Heinrichs 
,Aksel Airo 
,Lennart Oesch 
,Nikolaus von Falkenhorst 
,Eduard Dietl 
,Lothar Rendulic","Markian Popov 
,Trifon Shevaldin 
,Leonid Govorov 
,Mikhail Hozin 
,Valerian A. Frolov 
,Kirill Meretskov",1,allies,,,,917000,,,,650000,100,Axis invasion of the Soviet Union,"64.031116, 30.701103",1941-06,1944-09
Operation Silver Fox,https://en.wikipedia.org/wiki/Operation_Silver_Fox,,26501,0,0,0,0,0,0,Soviet Union   United Kingdom [note],Germany   Finland,"Nikolaus von Falkenhorst,Eduard Dietl,Hans Feige,Hjalmar Siilasvuo","Markian Popov,Valerian Frolov ,Roman Panin",1,axis,,,,,,,,,100,Axis invasion of the Soviet Union,"68.967,33.083",1941-06,1941-11
Operation Platinum Fox,https://en.wikipedia.org/wiki/Operation_Platinum_Fox,,10300,0,0,0,0,0,0,Soviet Union,Germany   Finland,Eduard Dietl,Valerian Frolov,1,axis,,,,27500,,,,45000,100,Axis invasion of the Soviet Union,"69.722509, 32.585621",1941-06,1941-09
Operation Arctic Fox,https://en.wikipedia.org/wiki/Operation_Arctic_Fox,,9463,0,0,0,0,0,0,Soviet Union,Germany   Finland,"Hans Feige,Hjalmar Siilasvuo","Markian Popov,Valerian Frolov,Roman Panin ",0,,,,72,45000,,,200,78500,100,Axis invasion of the Soviet Union,"66.833344, 28.669989",1941-07,1941-11
Battle of Smolensk (1941),https://en.wikipedia.org/wiki/Battle_of_Smolensk_(1941),186144,29650,3273,903,0,214,0,0,Soviet Union,Germany,"Fedor von Bock,Maximilian von Weichs,Hermann Hoth,Heinz Guderian","Semyon Timoshenko,Fyodor Kuznetsov,Andrei Yeremenko,Ivan Gorbachyov  ",1,axis,1500,,1780,430000,,,1545,581600,100,Axis invasion of the Soviet Union,"54.78278,32.04528",1941-07,1941-09
Battle of Uman,https://en.wikipedia.org/wiki/Battle_of_Uman,100000,4610,317,0,0,0,0,0,Soviet Union,Germany   Romania   Hungary   Slovakia,"Field Marshal,Gerd von Rundstedt,Colonel General,Carl-Heinrich von Stülpnagel","Semyon Budyonny,Mikhail Kirponos,Ivan Tyulenev",1,axis,,,600,400000,,858,317,300000,100,Axis invasion of the Soviet Union,"48.771028, 30.217481",1941-07,1941-08
Siege of Odessa (1941),https://en.wikipedia.org/wiki/Siege_of_Odessa_(1941),16578,17729,0,151,0,19,20,90,Soviet Union,Romania   Germany   Italy   (air support),"Ion Antonescu,Alexandru Ioaniţiu,Nicolae Ciupercă,Iosif Iacobici,Ioan Glogojeanu,Nicolae Deleanu,C. D. Nicolescu,Horia Macellariu,Erich von Manstein","Georgiy Sofronov,Ivan Petrov,Gavriil Zhukov,Filipp Oktyabrskiy",1,axis,,,,340223,,240,,34500,100,Axis invasion of the Soviet Union,"46.478232, 30.724886",1941-08,1941-10
Battle of Kiev (1941),https://en.wikipedia.org/wiki/Battle_of_Kiev_(1941),616304,45654,411,343,28419,0,0,0,Soviet Union,Germany,"Fedor von Bock,Gerd von Rundstedt,Heinz Guderian","Semyon Budyonny ,Semyon Timoshenko,Mikhail Kirponos  ,Mykhailo Burmystenko  ",0.5,axis,,,,500000,,,,627000,100,Axis invasion of the Soviet Union,"50.102388, 30.780124",1941-08,1941-09
Evacuation of Tallinn (1941),https://en.wikipedia.org/wiki/Evacuation_of_Tallinn_(1941),12000,,0,0,0,0,0,0,Soviet Union,Finland   Germany,Unknown,"Admiral,Vladimir Tributz Marshal,Kliment Voroshilov",1,axis,,,,,,,,30000,100,Axis invasion of the Soviet Union,"60.448829, 26.312474",1941-08,1941-08
Yelnya Offensive,https://en.wikipedia.org/wiki/Yelnya_Offensive,10701,23000,0,0,0,0,0,0,Soviet Union,Germany,Fedor von Bock,"Georgy Zhukov,Konstantin Rakutin  ",0.5,allies,,,,,,,,103200,100,Axis invasion of the Soviet Union,"54.567,33.167",1941-09,1941-09
Battle of the Sea of Azov,https://en.wikipedia.org/wiki/Battle_of_the_Sea_of_Azov,106332,12421,212,0,772,0,0,0,Soviet Union,Germany   Romania,"Gerd von Rundstedt,Erich von Manstein,Ewald von Kleist","Semyon Timoshenko,Dmitry Ryabyshev,Yakov Cherevichenko",1,axis,,,,,,,,,100,Axis invasion of the Soviet Union,"46.186320, 36.603951",1941-09,1941-10
Sinyavino Offensive (1942),https://en.wikipedia.org/wiki/Sinyavino_Offensive_(1942),40085,5893,0,0,0,0,0,0,Soviet Union,Germany,"Erich von Manstein,Georg von Küchler","Kirill Meretskov,Leonid Govorov",0,,,,,300000,,,,190000,100,Siege of Leningrad (1941–1944),"59.908849, 31.069032",1942-10,1942-10
Operation Iskra,https://en.wikipedia.org/wiki/Operation_Iskra,33940,12000,0,0,0,0,0,0,Soviet Union,Germany,Georg Lindemann,Kirill Meretskov Leonid Govorov,1,axis,,700,50,390000,900,4600,500,352500,100,Siege of Leningrad (1941–1944),"59.730399, 32.119402",1943-01,1943-01
Battle of Bryansk (1941),https://en.wikipedia.org/wiki/Battle_of_Bryansk_(1941),80000,,0,0,0,0,0,0,Soviet Union,Germany,"Fedor von Bock,Heinz Guderian,Maximilian von Weichs","Andrey Yeryomenko,Semyon Timoshenko,Georgy Zhukov",1,axis,,,,,,,,,100,Axis invasion of the Soviet Union,"53.272066, 34.345562",1941-09,1941-10
Battle of the Crimea (1941),https://en.wikipedia.org/wiki/Crimea_Campaign,65000,30000,0,0,672,0,0,0,Soviet Union,Germany   Romania,"Erich von Manstein,Wolfram Freiherr von Richthofen,Gheorghe Avramescu,Constantin Costăchescu","Gordey Levchenko,Fyodor Kuznetsov,Ivan Yefimovich Petrov",1,axis,,,,,,,,,100,Axis invasion of the Soviet Union,"45.119762, 34.044791",1941-10,1941-11
First Battle of Kharkov,https://en.wikipedia.org/wiki/First_Battle_of_Kharkov,,,0,0,0,0,0,0,Soviet Union,Germany,"Erwin Vierow,Anton Dostler",Viktor Tsyganov,1,axis,,,12,30000,,,,1500,100,Axis invasion of the Soviet Union,"49.991829, 36.228823",1941-10,1941-10
Battle at Borodino Field,https://en.wikipedia.org/wiki/Battle_at_Borodino_Field,,,0,0,0,0,0,0,Soviet Union,Germany,Günther von Kluge,Dmitry Lelyushenko,1,,,,600,15000,,,,32000,100,Axis invasion of the Soviet Union,"55.50861,35.82111",1941-10,1942-01
Battle of the Kerch Peninsula,https://en.wikipedia.org/wiki/Battle_of_the_Kerch_Peninsula,570601,38362,258,417,1133,12,37,9,Soviet Union,Germany   Romania,"Erich von Manstein,Wolfram von Richthofen","Dimitri Kozlov,Lev Mekhlis,Filipp Oktyabrsky",1,axis,800,,257,232549,404,,238,249800,100,Siege of Sevastopol (1941–1942),,1941-12,1942-05
Battle of Rostov,https://en.wikipedia.org/wiki/Battle_of_Rostov_(1941),33000,4316,0,0,0,0,0,0,Soviet Union,Germany   Romania   Slovak Republic,Yakov Cherevichenko,Gerd von Rundstedt Walther von Reichenau Ewald von Kleist,1,axis,200,,250,300000,200,,120,349000,100,Axis invasion of the Soviet Union,,1941-11,1941-12
Battle of Moscow,https://en.wikipedia.org/wiki/Battle_of_Moscow,1029234,174194,0,0,0,0,0,0,Soviet Union,Germany,"Adolf Hitler 
 Fedor von Bock 
 Heinz Guderian 
 Erich Hoepner","Joseph Stalin 
 Georgy Zhukov 
 Aleksandr Vasilevsky 
 Ivan Konev",1,allies,599,14000,2470,1929406,1376,7600,3232,1400000,100,Axis invasion of the Soviet Union,,1941-10,1942-01
Toropets-Kholm Operation,https://en.wikipedia.org/wiki/Toropets-Kholm_Operation,10400,12000,0,0,0,0,0,0,Soviet Union,Germany,"Colonel General,Ernst Busch","General,Pavel Kurochkin",1,axis,,,,,,,,122100,100,Soviet Winter counter-offensive,,1942-01,1942-02
Demyansk Pocket,https://en.wikipedia.org/wiki/Demyansk_Pocket,88908,11777,0,0,0,0,265,0,Soviet Union,Germany,"Walter von Brockdorff-Ahlefeldt,Walther von Seydlitz-Kurzbach",Pavel Kurochkin,1,axis,,,,131000,,,,400000,100,Soviet Winter counter-offensive,,1942-02,1942-05
Second Battle of Kharkov,https://en.wikipedia.org/wiki/Second_Battle_of_Kharkov,170958,30000,1250,542,2086,108,49,0,Soviet Union,Germany   Romania   Hungary   Italy   Croatia   Slovakia,"Fedor von Bock,Ewald von Kleist","Semyon Timoshenko,Ivan Bagramyan",1,axis,591,,507,350000,926,1154,1476,765300,100,Soviet Winter counter-offensive,,1942-05,1942-05
Battle of Voronezh (1942),https://en.wikipedia.org/wiki/Battle_of_Voronezh_(1942),290522,19000,0,0,0,0,0,0,Soviet Union,Germany   Hungary,"Hermann Hoth,Gusztáv Vitéz Jány",Filipp Golikov,1,axis,,,,2500000,,,,800000,100,Case Blue,,1942-06,1942-07
Battle of Stalingrad,https://en.wikipedia.org/wiki/Battle_of_Stalingrad,1129619,868374,4341,2769,15728,1500,744,5762,Soviet Union,Germany   Italy   Romania   Hungary   Croatia,"Adolf Hitler,Friedrich Paulus,Walter Heitz,Erich von Manstein,W.F. von Richthofen,Italo Gariboldi,Petre Dumitrescu,C. Constantinescu,Gusztáv Jány","Joseph Stalin,Georgy Zhukov,Nikolay Voronov,A.M. Vasilevsky,Andrey Yeryomenko,K.K. Rokossovsky,Nikolai Vatutin,Vasily Chuikov",1,allies,732,10250,500,1040000,1115,13451,894,187000,100,Case Blue,"48.7,44.517",1942-08,1943-02
Operation Uranus,https://en.wikipedia.org/wiki/Operation_Uranus,,,0,0,0,0,0,0,Soviet Union,Germany   Italy   Romania   Hungary,"Joseph Stalin,Semyon Timoshenko,Konstantin Rokossovsky,Aleksandr Vasilevsky,Nikolai Vatutin","Adolf Hitler,Friedrich Paulus,Petre Dumitrescu",0.5,allies,732,3000,950,1040000,1500,13451,894,1173500,100,Eastern Front,"48.7,44.517",1942-11,1942-11
Operation Mars,https://en.wikipedia.org/wiki/Operation_Mars,100000,40000,1600,0,0,0,0,0,Soviet Union,Germany,"Georgy Zhukov,Ivan Konev,Maksim Purkayev","Walter Model,Günther von Kluge",1,axis,,,1615,350000,,,1718,702923,100,Eastern Front,,1942-11,1942-12
Tatsinskaya Raid,https://en.wikipedia.org/wiki/Tatsinskaya_Raid,,12000,190,0,0,84,300,106,Soviet Union,Germany   Romania [1]   Italy [2],Hermann Balck,Vasily Badanov,1,allies,,,,,,,,,100,Operation Little Saturn,,1942-12,1942-12
Battle of Nikolayevka,https://en.wikipedia.org/wiki/Battle_of_Nikolayevka,,,0,0,0,0,0,0,Soviet Union,Italy   Hungary,"Giulio Martinat   †,Luigi Reverberi","Fyodor Kuznetsov,Dmitri Lelyushenko",0.5,axis,,,,9000,,,,6000,100,Operation Little Saturn,,1943-01,1943-01
Operation Winter Storm,https://en.wikipedia.org/wiki/Operation_Winter_Storm,,3700,0,0,0,0,0,0,Soviet Union,Germany   Romania   Italy,"Andrey Yeryomenko,Rodion Malinovsky,Aleksandr Vasilevsky","Erich von Manstein,Hermann Hoth,Karl-Adolf Hollidt,Petre Dumitrescu,Italo Gariboldi",1,allies,,1500,630,150000,,,250,50000,100,Eastern Front,,1942-12,1942-12
Battle for Velikiye Luki (1943),https://en.wikipedia.org/wiki/Battle_for_Velikiye_Luki_(1943),31674,60000,0,0,0,0,0,0,Soviet Union,Germany,Kurt von der Chevallerie,Maksim Purkayev,1,axis,,,,100000,,,,95608,100,Eastern Front,,1942-11,1943-01
Battle of Krasny Bor,https://en.wikipedia.org/wiki/Battle_of_Krasny_Bor,20000,3645,0,0,0,0,0,0,Soviet Union,Germany,"Georg Lindemann,Emilio Esteban Infantes",Vladimir Sviridov,1,axis,,,,5900,,1000,,33000,100,Operation Polyarnaya Zvezda,,1943-02,1943-02
Ostrogozhsk-Rossosh Operation,https://en.wikipedia.org/wiki/Ostrogozhsk-Rossosh_Operation,33000,52000,0,0,0,0,0,0,Soviet Union,Hungary   Italy,"Gusztáv Jány,Italo Gariboldi",Filipp Golikov,1,axis,,,,260000,,,,,100,Eastern Front,,1943-01,1943-01
Battle of Voronezh (1943),https://en.wikipedia.org/wiki/Battle_of_Voronezh_(1943),13876,91000,0,0,0,143,0,765,Soviet Union,Germany   Hungary,"Maximilian von Weichs,Hans von Salmuth,Gusztáv Jány","Aleksandr Vasilevsky,Filipp Golikov,Max Reyter",1,axis,,,960,327900,,,2100,987000,100,Eastern Front,,1943-01,1943-02
Third Battle of Kharkov,https://en.wikipedia.org/wiki/Third_Battle_of_Kharkov,45219,4500,0,0,0,0,0,0,Soviet Union,Germany,"Erich von Manstein,Paul Hausser,Hermann Hoth,E. von Mackensen,Theodor Eicke  ","Filipp Golikov,Nikolay Vatutin,K. Rokossovsky,Vasily Koptsov",1,axis,,,,560000,,,,70000,100,Eastern Front,"49.96667,36.31667",1943-02,1943-03
Battle of Prokhorovka,https://en.wikipedia.org/wiki/Battle_of_Prokhorovka,5500,842,400,0,0,80,5,0,Soviet Union,Germany,"Hermann Hoth,Paul Hausser,Otto Deßloch","Nikolai Vatutin,Pavel Rotmistrov,Alexei Zhadov,Stepan Krasovsky,Vladimir Sudets",0,,,,294,,,,616,,100,Battle of Kursk,"51.03639,36.73639",1943-07,1943-07
Operation Kutuzov,https://en.wikipedia.org/wiki/Operation_Kutuzov,112529,14215,2586,1014,892,0,218,0,Soviet Union,Germany,"Walter Model,Lothar Rendulic,Robert Ritter von Greim","Konstantin Rokossovsky,Hovhannes Bagramyan",1,axis,610,5500,625,300700,3023,26379,2409,1286000,100,Battle of Kursk,,1943-07,1943-08
Battle of Lenino,https://en.wikipedia.org/wiki/Battle_of_Lenino,3000,1500,0,0,0,0,0,0,Soviet Union   Poland,Germany,Gottfried Fröhlich,"Vasiliy Nikolayevich Gordov,Zygmunt Berling",1,,,,400,15000,138,,,165000,100,Battle of Smolensk (1943),,1943-10,1943-10
Battle of Belgorod,https://en.wikipedia.org/wiki/Battle_of_Belgorod,,,0,0,0,0,0,0,Soviet Union,Nazi Germany,Erich von Manstein,"Nikolai Vatutin,Ivan Konev",1,axis,,,,,,,,,100,Fourth Battle of Kharkov,,1943-08,1943-08
Battle of Kiev (1943),https://en.wikipedia.org/wiki/Battle_of_Kiev_(1943),28141,2628,271,125,0,0,0,0,Soviet Union   Czechoslovakia,Germany,Nikolai Vatutin,"Hermann Hoth,Erhard Raus",1,axis,700,7000,675,730000,,,,,100,Battle of the Dnieper,,1943-11,1943-12
Korsun Pocket,https://en.wikipedia.org/wiki/Battle_of_the_Korsun%E2%80%93Cherkassy_Pocket,24286,30000,728,0,0,156,50,0,Soviet Union,Germany,"Erich von Manstein,Otto Wöhler,Hermann Breith,Wilhelm Stemmermann","Georgy Zhukov,Nikolai Vatutin,Ivan Konev",1,allies,,242,318,140000,1054,5300,924,336700,100,Dnieper–Carpathian Offensive,,1944-01,1944-02
Uman-Botoshany Offensive,https://en.wikipedia.org/wiki/Uman%E2%80%93Boto%C8%99ani_Offensive,123204,45000,0,0,0,0,0,0,Soviet Union,Germany   Romania,Ivan Konev,Erich von Manstein,0.5,allies,,3500,450,400000,,8890,670,691000,100,Dnieper–Carpathian Offensive,,1944-03,1944-04
Kamenets-Podolsky pocket,https://en.wikipedia.org/wiki/Kamenets-Podolsky_pocket,,,318,0,0,678,0,0,Soviet Union,Germany,"Erich von Manstein,Hans-Valentin Hube","Georgi Zhukov,Nikolai Vatutin ,Ivan Koniev ",1,allies,,50,93,220000,,,,,100,Dnieper–Carpathian Offensive,,1944-03,1944-04
Leningrad–Novgorod Offensive,https://en.wikipedia.org/wiki/Leningrad%E2%80%93Novgorod_Offensive,76686,24739,0,0,0,0,0,0,Soviet Union,Germany,"Georg von Küchler,Walter Model","Kirill Meretskov,Leonid Govorov",1,allies,140,2389,146,500000,653,4600,550,822000,100,Eastern Front,,1944-01,1944-03
Korsun-Cherkassy Pocket,https://en.wikipedia.org/wiki/Korsun-Cherkassy_Pocket,24286,30000,728,0,0,156,50,0,Soviet Union,Germany,"Erich von Manstein,Otto Wöhler,Hermann Breith,Wilhelm Stemmermann","Georgy Zhukov,Nikolai Vatutin,Ivan Konev",1,allies,,242,318,140000,1054,5300,524,336700,100,Eastern Front,,1944-01,1944-02
Krasnoye Selo–Ropsha Offensive,https://en.wikipedia.org/wiki/Krasnoye_Selo%E2%80%93Ropsha_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,Georg von Küchler,Leonid Govorov,1,axis,,,110,150000,,1200,681,450000,100,Battle of Narva (1944),,1944-01,1944-01
