date,boro,metric,value
2019-01-04,Unspecified,Street Light Condition,124
2019-01-04,NYC,HEAT/HOT WATER,7704
2019-01-04,NYC,Request Large Bulky Item Collection,7704
2019-01-04,NYC,Noise - Residential,7704
2019-01-04,NYC,Illegal Parking,7704
2019-01-04,NYC,Blocked Driveway,7704
2019-01-04,BRONX,complaints,1475
2019-01-04,BRONX,HEAT/HOT WATER,1475
2019-01-04,BRONX,Noise - Residential,1475
2019-01-04,BRONX,Street Light Condition,1475
2019-01-04,BRONX,UNSANITARY CONDITION,1475
2019-01-04,BRONX,Blocked Driveway,1475
2019-01-04,BROOKLYN,complaints,2413
2019-01-04,BROOKLYN,HEAT/HOT WATER,2413
2019-01-04,BROOKLYN,Illegal Parking,2413
2019-01-04,BROOKLYN,Request Large Bulky Item Collection,2413
2019-01-04,BROOKLYN,Blocked Driveway,2413
2019-01-04,BROOKLYN,Noise - Residential,2413
2019-01-04,MANHATTAN,complaints,1427
2019-01-04,MANHATTAN,HEAT/HOT WATER,1427
2019-01-04,MANHATTAN,Noise - Residential,1427
2019-01-04,MANHATTAN,Noise,1427
2019-01-04,MANHATTAN,Street Light Condition,1427
2019-01-04,MANHATTAN,Request Large Bulky Item Collection,1427
2019-01-04,QUEENS,complaints,1840
2019-01-04,QUEENS,Request Large Bulky Item Collection,1840
2019-01-04,QUEENS,Blocked Driveway,1840
2019-01-04,QUEENS,Illegal Parking,1840
2019-01-04,QUEENS,Street Condition,1840
2019-01-04,QUEENS,HEAT/HOT WATER,1840
2019-01-04,STATEN ISLAND,complaints,425
2019-01-04,STATEN ISLAND,Request Large Bulky Item Collection,425
2019-01-04,STATEN ISLAND,Electronics Waste,425
2019-01-04,STATEN ISLAND,Street Condition,425
2019-01-04,STATEN ISLAND,Missed Collection (All Materials),425
2019-01-04,STATEN ISLAND,Illegal Parking,425
2019-01-04,Unspecified,complaints,124
2019-01-04,Unspecified,Benefit Card Replacement,124
2019-01-04,Unspecified,HPD Literature Request,124
2019-01-04,Unspecified,DOF Parking - Payment Issue,124
2019-01-04,Unspecified,Highway Condition,124
2019-01-04,Unspecified,Street Light Condition,124
2019-01-05,Unspecified,Question,31
2019-01-05,NYC,Noise - Residential,5160
2019-01-05,NYC,HEAT/HOT WATER,5160
2019-01-05,NYC,Blocked Driveway,5160
2019-01-05,NYC,Illegal Parking,5160
2019-01-05,NYC,Request Large Bulky Item Collection,5160
2019-01-05,BRONX,complaints,1085
2019-01-05,BRONX,Noise - Residential,1085
2019-01-05,BRONX,HEAT/HOT WATER,1085
2019-01-05,BRONX,Blocked Driveway,1085
2019-01-05,BRONX,Illegal Parking,1085
2019-01-05,BRONX,WATER LEAK,1085
2019-01-05,BROOKLYN,complaints,1551
2019-01-05,BROOKLYN,Noise - Residential,1551
2019-01-05,BROOKLYN,HEAT/HOT WATER,1551
2019-01-05,BROOKLYN,Illegal Parking,1551
2019-01-05,BROOKLYN,Request Large Bulky Item Collection,1551
2019-01-05,BROOKLYN,Blocked Driveway,1551
2019-01-05,MANHATTAN,complaints,954
2019-01-05,MANHATTAN,Noise - Residential,954
2019-01-05,MANHATTAN,HEAT/HOT WATER,954
2019-01-05,MANHATTAN,Noise - Commercial,954
2019-01-05,MANHATTAN,Noise,954
2019-01-05,MANHATTAN,Noise - Street/Sidewalk,954
2019-01-05,QUEENS,complaints,1247
2019-01-05,QUEENS,Blocked Driveway,1247
2019-01-05,QUEENS,Request Large Bulky Item Collection,1247
2019-01-05,QUEENS,Illegal Parking,1247
2019-01-05,QUEENS,Noise - Residential,1247
2019-01-05,QUEENS,HEAT/HOT WATER,1247
2019-01-05,STATEN ISLAND,complaints,292
2019-01-05,STATEN ISLAND,Request Large Bulky Item Collection,292
2019-01-05,STATEN ISLAND,Missed Collection (All Materials),292
2019-01-05,STATEN ISLAND,Electronics Waste,292
2019-01-05,STATEN ISLAND,Noise - Residential,292
2019-01-05,STATEN ISLAND,Street Condition,292
2019-01-05,Unspecified,complaints,31
2019-01-05,Unspecified,Benefit Card Replacement,31
2019-01-05,Unspecified,HPD Literature Request,31
2019-01-05,Unspecified,Highway Condition,31
2019-01-05,Unspecified,Street Condition,31
2019-01-05,Unspecified,Question,31
2019-01-06,Unspecified,Illegal Parking,44
2019-01-06,NYC,Noise - Residential,5349
2019-01-06,NYC,HEAT/HOT WATER,5349
2019-01-06,NYC,Request Large Bulky Item Collection,5349
2019-01-06,NYC,Illegal Parking,5349
2019-01-06,NYC,Blocked Driveway,5349
2019-01-06,BRONX,complaints,1027
2019-01-06,BRONX,Noise - Residential,1027
2019-01-06,BRONX,HEAT/HOT WATER,1027
2019-01-06,BRONX,Blocked Driveway,1027
2019-01-06,BRONX,Illegal Parking,1027
2019-01-06,BRONX,WATER LEAK,1027
2019-01-06,BROOKLYN,complaints,1766
2019-01-06,BROOKLYN,HEAT/HOT WATER,1766
2019-01-06,BROOKLYN,Illegal Parking,1766
2019-01-06,BROOKLYN,Request Large Bulky Item Collection,1766
2019-01-06,BROOKLYN,Noise - Residential,1766
2019-01-06,BROOKLYN,Blocked Driveway,1766
2019-01-06,MANHATTAN,complaints,968
2019-01-06,MANHATTAN,Noise - Residential,968
2019-01-06,MANHATTAN,HEAT/HOT WATER,968
2019-01-06,MANHATTAN,Noise - Commercial,968
2019-01-06,MANHATTAN,Request Large Bulky Item Collection,968
2019-01-06,MANHATTAN,Noise - Street/Sidewalk,968
2019-01-06,QUEENS,complaints,1255
2019-01-06,QUEENS,Blocked Driveway,1255
2019-01-06,QUEENS,Request Large Bulky Item Collection,1255
2019-01-06,QUEENS,Illegal Parking,1255
2019-01-06,QUEENS,Noise - Residential,1255
2019-01-06,QUEENS,HEAT/HOT WATER,1255
2019-01-06,STATEN ISLAND,complaints,289
2019-01-06,STATEN ISLAND,Electronics Waste,289
2019-01-06,STATEN ISLAND,Request Large Bulky Item Collection,289
2019-01-06,STATEN ISLAND,Street Condition,289
2019-01-06,STATEN ISLAND,Missed Collection (All Materials),289
2019-01-06,STATEN ISLAND,Illegal Parking,289
2019-01-06,Unspecified,complaints,44
2019-01-06,Unspecified,Benefit Card Replacement,44
2019-01-06,Unspecified,Highway Condition,44
2019-01-06,Unspecified,HPD Literature Request,44
2019-01-06,Unspecified,Bridge Condition,44
2019-01-06,Unspecified,Illegal Parking,44
2019-01-07,Unspecified,Highway Condition,150
2019-01-07,NYC,HEAT/HOT WATER,8621
2019-01-07,NYC,Request Large Bulky Item Collection,8621
2019-01-07,NYC,Illegal Parking,8621
2019-01-07,NYC,Graffiti,8621
2019-01-07,NYC,Noise - Residential,8621
2019-01-07,BRONX,complaints,1627
2019-01-07,BRONX,HEAT/HOT WATER,1627
2019-01-07,BRONX,Noise - Residential,1627
2019-01-07,BRONX,UNSANITARY CONDITION,1627
2019-01-07,BRONX,Graffiti,1627
2019-01-07,BRONX,Blocked Driveway,1627
2019-01-07,BROOKLYN,complaints,2864
2019-01-07,BROOKLYN,HEAT/HOT WATER,2864
2019-01-07,BROOKLYN,Request Large Bulky Item Collection,2864
2019-01-07,BROOKLYN,Graffiti,2864
2019-01-07,BROOKLYN,Illegal Parking,2864
2019-01-07,BROOKLYN,Blocked Driveway,2864
2019-01-07,MANHATTAN,complaints,1530
2019-01-07,MANHATTAN,HEAT/HOT WATER,1530
2019-01-07,MANHATTAN,Noise - Residential,1530
2019-01-07,MANHATTAN,Graffiti,1530
2019-01-07,MANHATTAN,Noise,1530
2019-01-07,MANHATTAN,Request Large Bulky Item Collection,1530
2019-01-07,QUEENS,complaints,1991
2019-01-07,QUEENS,Request Large Bulky Item Collection,1991
2019-01-07,QUEENS,Blocked Driveway,1991
2019-01-07,QUEENS,HEAT/HOT WATER,1991
2019-01-07,QUEENS,Illegal Parking,1991
2019-01-07,QUEENS,Street Condition,1991
2019-01-07,STATEN ISLAND,complaints,459
2019-01-07,STATEN ISLAND,Electronics Waste,459
2019-01-07,STATEN ISLAND,Request Large Bulky Item Collection,459
2019-01-07,STATEN ISLAND,Street Condition,459
2019-01-07,STATEN ISLAND,Street Light Condition,459
2019-01-07,STATEN ISLAND,Illegal Parking,459
2019-01-07,Unspecified,complaints,150
2019-01-07,Unspecified,Benefit Card Replacement,150
2019-01-07,Unspecified,DOF Parking - Payment Issue,150
2019-01-07,Unspecified,HPD Literature Request,150
2019-01-07,Unspecified,Street Condition,150
2019-01-07,Unspecified,Highway Condition,150
2019-01-08,Unspecified,Highway Condition,148
2019-01-08,NYC,HEAT/HOT WATER,7891
2019-01-08,NYC,Request Large Bulky Item Collection,7891
2019-01-08,NYC,Illegal Parking,7891
2019-01-08,NYC,Noise - Residential,7891
2019-01-08,NYC,Blocked Driveway,7891
2019-01-08,BRONX,complaints,1464
2019-01-08,BRONX,HEAT/HOT WATER,1464
2019-01-08,BRONX,Noise - Residential,1464
2019-01-08,BRONX,UNSANITARY CONDITION,1464
2019-01-08,BRONX,PAINT/PLASTER,1464
2019-01-08,BRONX,Street Light Condition,1464
2019-01-08,BROOKLYN,complaints,2465
2019-01-08,BROOKLYN,Request Large Bulky Item Collection,2465
2019-01-08,BROOKLYN,HEAT/HOT WATER,2465
2019-01-08,BROOKLYN,Illegal Parking,2465
2019-01-08,BROOKLYN,Blocked Driveway,2465
2019-01-08,BROOKLYN,Noise - Residential,2465
2019-01-08,MANHATTAN,complaints,1461
2019-01-08,MANHATTAN,HEAT/HOT WATER,1461
2019-01-08,MANHATTAN,Noise,1461
2019-01-08,MANHATTAN,Noise - Residential,1461
2019-01-08,MANHATTAN,Illegal Parking,1461
2019-01-08,MANHATTAN,Request Large Bulky Item Collection,1461
2019-01-08,QUEENS,complaints,1885
2019-01-08,QUEENS,Request Large Bulky Item Collection,1885
2019-01-08,QUEENS,Illegal Parking,1885
2019-01-08,QUEENS,Blocked Driveway,1885
2019-01-08,QUEENS,Street Condition,1885
2019-01-08,QUEENS,HEAT/HOT WATER,1885
2019-01-08,STATEN ISLAND,complaints,468
2019-01-08,STATEN ISLAND,Request Large Bulky Item Collection,468
2019-01-08,STATEN ISLAND,Electronics Waste,468
2019-01-08,STATEN ISLAND,Street Condition,468
2019-01-08,STATEN ISLAND,Missed Collection (All Materials),468
2019-01-08,STATEN ISLAND,Water System,468
2019-01-08,Unspecified,complaints,148
2019-01-08,Unspecified,Benefit Card Replacement,148
2019-01-08,Unspecified,DOF Parking - Payment Issue,148
2019-01-08,Unspecified,DCA / DOH New License Application Request,148
2019-01-08,Unspecified,HPD Literature Request,148
2019-01-08,Unspecified,Highway Condition,148
2019-01-09,Unspecified,DCA / DOH New License Application Request,149
2019-01-09,NYC,HEAT/HOT WATER,7967
2019-01-09,NYC,Request Large Bulky Item Collection,7967
2019-01-09,NYC,Illegal Parking,7967
2019-01-09,NYC,Blocked Driveway,7967
2019-01-09,NYC,Street Light Condition,7967
2019-01-09,BRONX,complaints,1421
2019-01-09,BRONX,HEAT/HOT WATER,1421
2019-01-09,BRONX,Street Light Condition,1421
2019-01-09,BRONX,Noise - Residential,1421
2019-01-09,BRONX,UNSANITARY CONDITION,1421
2019-01-09,BRONX,Blocked Driveway,1421
2019-01-09,BROOKLYN,complaints,2529
2019-01-09,BROOKLYN,HEAT/HOT WATER,2529
2019-01-09,BROOKLYN,Request Large Bulky Item Collection,2529
2019-01-09,BROOKLYN,Blocked Driveway,2529
2019-01-09,BROOKLYN,Illegal Parking,2529
2019-01-09,BROOKLYN,Noise - Residential,2529
2019-01-09,MANHATTAN,complaints,1480
2019-01-09,MANHATTAN,HEAT/HOT WATER,1480
2019-01-09,MANHATTAN,Noise - Residential,1480
2019-01-09,MANHATTAN,Noise,1480
2019-01-09,MANHATTAN,Request Large Bulky Item Collection,1480
2019-01-09,MANHATTAN,Street Light Condition,1480
2019-01-09,QUEENS,complaints,1938
2019-01-09,QUEENS,Request Large Bulky Item Collection,1938
2019-01-09,QUEENS,Illegal Parking,1938
2019-01-09,QUEENS,HEAT/HOT WATER,1938
2019-01-09,QUEENS,Blocked Driveway,1938
2019-01-09,QUEENS,Street Condition,1938
2019-01-09,STATEN ISLAND,complaints,450
2019-01-09,STATEN ISLAND,Request Large Bulky Item Collection,450
2019-01-09,STATEN ISLAND,Street Condition,450
2019-01-09,STATEN ISLAND,Electronics Waste,450
2019-01-09,STATEN ISLAND,Missed Collection (All Materials),450
2019-01-09,STATEN ISLAND,Illegal Parking,450
2019-01-09,Unspecified,complaints,149
2019-01-09,Unspecified,Benefit Card Replacement,149
2019-01-09,Unspecified,DOF Parking - Payment Issue,149
2019-01-09,Unspecified,Highway Condition,149
2019-01-09,Unspecified,HPD Literature Request,149
2019-01-09,Unspecified,DCA / DOH New License Application Request,149
2019-01-10,Unspecified,Highway Condition,111
2019-01-10,NYC,HEAT/HOT WATER,7298
2019-01-10,NYC,Request Large Bulky Item Collection,7298
2019-01-10,NYC,Illegal Parking,7298
2019-01-10,NYC,Blocked Driveway,7298
2019-01-10,NYC,Street Condition,7298
2019-01-10,BRONX,complaints,1440
2019-01-10,BRONX,HEAT/HOT WATER,1440
2019-01-10,BRONX,UNSANITARY CONDITION,1440
2019-01-10,BRONX,PAINT/PLASTER,1440
2019-01-10,BRONX,Noise - Residential,1440
2019-01-10,BRONX,PLUMBING,1440
2019-01-10,BROOKLYN,complaints,2377
2019-01-10,BROOKLYN,HEAT/HOT WATER,2377
2019-01-10,BROOKLYN,Request Large Bulky Item Collection,2377
2019-01-10,BROOKLYN,Illegal Parking,2377
2019-01-10,BROOKLYN,Blocked Driveway,2377
2019-01-10,BROOKLYN,Street Light Condition,2377
2019-01-10,MANHATTAN,complaints,1193
2019-01-10,MANHATTAN,HEAT/HOT WATER,1193
2019-01-10,MANHATTAN,Noise - Residential,1193
2019-01-10,MANHATTAN,Illegal Parking,1193
2019-01-10,MANHATTAN,Noise,1193
2019-01-10,MANHATTAN,Request Large Bulky Item Collection,1193
2019-01-10,QUEENS,complaints,1708
2019-01-10,QUEENS,Request Large Bulky Item Collection,1708
2019-01-10,QUEENS,HEAT/HOT WATER,1708
2019-01-10,QUEENS,Illegal Parking,1708
2019-01-10,QUEENS,Blocked Driveway,1708
2019-01-10,QUEENS,Street Light Condition,1708
2019-01-10,STATEN ISLAND,complaints,469
2019-01-10,STATEN ISLAND,Street Condition,469
2019-01-10,STATEN ISLAND,Request Large Bulky Item Collection,469
2019-01-10,STATEN ISLAND,Electronics Waste,469
2019-01-10,STATEN ISLAND,Water System,469
2019-01-10,STATEN ISLAND,Missed Collection (All Materials),469
2019-01-10,Unspecified,complaints,111
2019-01-10,Unspecified,DOF Parking - Payment Issue,111
2019-01-10,Unspecified,Benefit Card Replacement,111
2019-01-10,Unspecified,HPD Literature Request,111
2019-01-10,Unspecified,Question,111
2019-01-10,Unspecified,Highway Condition,111
2019-01-11,Unspecified,Highway Condition,142
2019-01-11,NYC,HEAT/HOT WATER,9201
2019-01-11,NYC,Noise - Residential,9201
2019-01-11,NYC,Graffiti,9201
2019-01-11,NYC,Illegal Parking,9201
2019-01-11,NYC,Request Large Bulky Item Collection,9201
2019-01-11,BRONX,complaints,1779
2019-01-11,BRONX,HEAT/HOT WATER,1779
2019-01-11,BRONX,Noise - Residential,1779
2019-01-11,BRONX,UNSANITARY CONDITION,1779
2019-01-11,BRONX,Street Light Condition,1779
2019-01-11,BRONX,PAINT/PLASTER,1779
2019-01-11,BROOKLYN,complaints,2972
2019-01-11,BROOKLYN,HEAT/HOT WATER,2972
2019-01-11,BROOKLYN,Graffiti,2972
2019-01-11,BROOKLYN,Blocked Driveway,2972
2019-01-11,BROOKLYN,Request Large Bulky Item Collection,2972
2019-01-11,BROOKLYN,Illegal Parking,2972
2019-01-11,MANHATTAN,complaints,1932
2019-01-11,MANHATTAN,HEAT/HOT WATER,1932
2019-01-11,MANHATTAN,Noise - Residential,1932
2019-01-11,MANHATTAN,Graffiti,1932
2019-01-11,MANHATTAN,Noise,1932
2019-01-11,MANHATTAN,Illegal Parking,1932
2019-01-11,QUEENS,complaints,1875
2019-01-11,QUEENS,HEAT/HOT WATER,1875
2019-01-11,QUEENS,Request Large Bulky Item Collection,1875
2019-01-11,QUEENS,Blocked Driveway,1875
2019-01-11,QUEENS,Illegal Parking,1875
2019-01-11,QUEENS,Noise - Residential,1875
2019-01-11,STATEN ISLAND,complaints,501
2019-01-11,STATEN ISLAND,Graffiti,501
2019-01-11,STATEN ISLAND,Street Condition,501
2019-01-11,STATEN ISLAND,Missed Collection (All Materials),501
2019-01-11,STATEN ISLAND,Electronics Waste,501
2019-01-11,STATEN ISLAND,Illegal Parking,501
2019-01-11,Unspecified,complaints,142
2019-01-11,Unspecified,Benefit Card Replacement,142
2019-01-11,Unspecified,HPD Literature Request,142
2019-01-11,Unspecified,DOF Parking - Payment Issue,142
2019-01-11,Unspecified,DCA / DOH New License Application Request,142
2019-01-11,Unspecified,Highway Condition,142
2019-01-12,Unspecified,Highway Condition,38
2019-01-12,NYC,HEAT/HOT WATER,6645
2019-01-12,NYC,Noise - Residential,6645
2019-01-12,NYC,Illegal Parking,6645
2019-01-12,NYC,Blocked Driveway,6645
2019-01-12,NYC,Request Large Bulky Item Collection,6645
2019-01-12,BRONX,complaints,1474
2019-01-12,BRONX,HEAT/HOT WATER,1474
2019-01-12,BRONX,Noise - Residential,1474
2019-01-12,BRONX,Blocked Driveway,1474
2019-01-12,BRONX,UNSANITARY CONDITION,1474
2019-01-12,BRONX,Illegal Parking,1474
2019-01-12,BROOKLYN,complaints,2110
2019-01-12,BROOKLYN,HEAT/HOT WATER,2110
2019-01-12,BROOKLYN,Noise - Residential,2110
2019-01-12,BROOKLYN,Illegal Parking,2110
2019-01-12,BROOKLYN,Blocked Driveway,2110
2019-01-12,BROOKLYN,Request Large Bulky Item Collection,2110
2019-01-12,MANHATTAN,complaints,1297
2019-01-12,MANHATTAN,HEAT/HOT WATER,1297
2019-01-12,MANHATTAN,Noise - Residential,1297
2019-01-12,MANHATTAN,Noise - Commercial,1297
2019-01-12,MANHATTAN,Noise,1297
2019-01-12,MANHATTAN,Illegal Parking,1297
2019-01-12,QUEENS,complaints,1448
2019-01-12,QUEENS,HEAT/HOT WATER,1448
2019-01-12,QUEENS,Blocked Driveway,1448
2019-01-12,QUEENS,Illegal Parking,1448
2019-01-12,QUEENS,Request Large Bulky Item Collection,1448
2019-01-12,QUEENS,Noise - Residential,1448
2019-01-12,STATEN ISLAND,complaints,278
2019-01-12,STATEN ISLAND,Electronics Waste,278
2019-01-12,STATEN ISLAND,Request Large Bulky Item Collection,278
2019-01-12,STATEN ISLAND,Missed Collection (All Materials),278
2019-01-12,STATEN ISLAND,HEAT/HOT WATER,278
2019-01-12,STATEN ISLAND,Illegal Parking,278
2019-01-12,Unspecified,complaints,38
2019-01-12,Unspecified,Benefit Card Replacement,38
2019-01-12,Unspecified,HPD Literature Request,38
2019-01-12,Unspecified,Traffic Signal Condition,38
2019-01-12,Unspecified,Taxi Complaint,38
2019-01-12,Unspecified,Highway Condition,38
2019-01-13,Unspecified,Maintenance or Facility,40
2019-01-13,NYC,Noise - Residential,5108
2019-01-13,NYC,HEAT/HOT WATER,5108
2019-01-13,NYC,Request Large Bulky Item Collection,5108
2019-01-13,NYC,Illegal Parking,5108
2019-01-13,NYC,Blocked Driveway,5108
2019-01-13,BRONX,complaints,999
2019-01-13,BRONX,Noise - Residential,999
2019-01-13,BRONX,HEAT/HOT WATER,999
2019-01-13,BRONX,Blocked Driveway,999
2019-01-13,BRONX,Illegal Parking,999
2019-01-13,BRONX,UNSANITARY CONDITION,999
2019-01-13,BROOKLYN,complaints,1658
2019-01-13,BROOKLYN,HEAT/HOT WATER,1658
2019-01-13,BROOKLYN,Noise - Residential,1658
2019-01-13,BROOKLYN,Request Large Bulky Item Collection,1658
2019-01-13,BROOKLYN,Illegal Parking,1658
2019-01-13,BROOKLYN,Blocked Driveway,1658
2019-01-13,MANHATTAN,complaints,983
2019-01-13,MANHATTAN,HEAT/HOT WATER,983
2019-01-13,MANHATTAN,Noise - Residential,983
2019-01-13,MANHATTAN,Noise - Commercial,983
2019-01-13,MANHATTAN,Request Large Bulky Item Collection,983
2019-01-13,MANHATTAN,Noise,983
2019-01-13,QUEENS,complaints,1199
2019-01-13,QUEENS,Blocked Driveway,1199
2019-01-13,QUEENS,Request Large Bulky Item Collection,1199
2019-01-13,QUEENS,Illegal Parking,1199
2019-01-13,QUEENS,Noise - Residential,1199
2019-01-13,QUEENS,HEAT/HOT WATER,1199
2019-01-13,STATEN ISLAND,complaints,229
2019-01-13,STATEN ISLAND,Request Large Bulky Item Collection,229
2019-01-13,STATEN ISLAND,Electronics Waste,229
2019-01-13,STATEN ISLAND,Noise - Residential,229
2019-01-13,STATEN ISLAND,Illegal Parking,229
2019-01-13,STATEN ISLAND,Street Condition,229
2019-01-13,Unspecified,complaints,40
2019-01-13,Unspecified,Benefit Card Replacement,40
2019-01-13,Unspecified,HPD Literature Request,40
2019-01-13,Unspecified,Highway Condition,40
2019-01-13,Unspecified,Housing Options,40
2019-01-13,Unspecified,Maintenance or Facility,40
2019-01-14,Unspecified,DCA / DOH New License Application Request,141
2019-01-14,NYC,HEAT/HOT WATER,10408
2019-01-14,NYC,Request Large Bulky Item Collection,10408
2019-01-14,NYC,Illegal Parking,10408
2019-01-14,NYC,Graffiti,10408
2019-01-14,NYC,Noise - Residential,10408
2019-01-14,BRONX,complaints,2234
