date,boro,metric,value
2019-01-01,Unspecified,DCA / DOH New License Application Request,70
2019-01-01,NYC,Noise - Residential,5068
2019-01-01,NYC,HEAT/HOT WATER,5068
2019-01-01,NYC,Blocked Driveway,5068
2019-01-01,NYC,Illegal Parking,5068
2019-01-01,NYC,Request Large Bulky Item Collection,5068
2019-01-01,BRONX,complaints,995
2019-01-01,BRONX,Noise - Residential,995
2019-01-01,BRONX,HEAT/HOT WATER,995
2019-01-01,BRONX,Blocked Driveway,995
2019-01-01,BRONX,Illegal Parking,995
2019-01-01,BRONX,UNSANITARY CONDITION,995
2019-01-01,BROOKLYN,complaints,1657
2019-01-01,BROOKLYN,Noise - Residential,1657
2019-01-01,BROOKLYN,HEAT/HOT WATER,1657
2019-01-01,BROOKLYN,Blocked Driveway,1657
2019-01-01,BROOKLYN,Illegal Parking,1657
2019-01-01,BROOKLYN,Request Large Bulky Item Collection,1657
2019-01-01,MANHATTAN,complaints,859
2019-01-01,MANHATTAN,Noise - Residential,859
2019-01-01,MANHATTAN,HEAT/HOT WATER,859
2019-01-01,MANHATTAN,Request Large Bulky Item Collection,859
2019-01-01,MANHATTAN,Noise - Commercial,859
2019-01-01,MANHATTAN,Noise - Street/Sidewalk,859
2019-01-01,QUEENS,complaints,1238
2019-01-01,QUEENS,Noise - Residential,1238
2019-01-01,QUEENS,Blocked Driveway,1238
2019-01-01,QUEENS,Request Large Bulky Item Collection,1238
2019-01-01,QUEENS,Illegal Parking,1238
2019-01-01,QUEENS,HEAT/HOT WATER,1238
2019-01-01,STATEN ISLAND,complaints,249
2019-01-01,STATEN ISLAND,Electronics Waste,249
2019-01-01,STATEN ISLAND,Noise - Residential,249
2019-01-01,STATEN ISLAND,Request Large Bulky Item Collection,249
2019-01-01,STATEN ISLAND,Illegal Parking,249
2019-01-01,STATEN ISLAND,Missed Collection (All Materials),249
2019-01-01,Unspecified,complaints,70
2019-01-01,Unspecified,Benefit Card Replacement,70
2019-01-01,Unspecified,Highway Condition,70
2019-01-01,Unspecified,HPD Literature Request,70
2019-01-01,Unspecified,Traffic Signal Condition,70
2019-01-01,Unspecified,DCA / DOH New License Application Request,70
2019-01-02,Unspecified,Question,148
2019-01-02,NYC,HEAT/HOT WATER,8135
2019-01-02,NYC,Request Large Bulky Item Collection,8135
2019-01-02,NYC,Illegal Parking,8135
2019-01-02,NYC,Noise - Residential,8135
2019-01-02,NYC,Street Condition,8135
2019-01-02,BRONX,complaints,1680
2019-01-02,BRONX,HEAT/HOT WATER,1680
2019-01-02,BRONX,Noise - Residential,1680
2019-01-02,BRONX,UNSANITARY CONDITION,1680
2019-01-02,BRONX,PAINT/PLASTER,1680
2019-01-02,BRONX,Street Light Condition,1680
2019-01-02,BROOKLYN,complaints,2455
2019-01-02,BROOKLYN,HEAT/HOT WATER,2455
2019-01-02,BROOKLYN,Request Large Bulky Item Collection,2455
2019-01-02,BROOKLYN,Illegal Parking,2455
2019-01-02,BROOKLYN,Blocked Driveway,2455
2019-01-02,BROOKLYN,Noise - Residential,2455
2019-01-02,MANHATTAN,complaints,1316
2019-01-02,MANHATTAN,HEAT/HOT WATER,1316
2019-01-02,MANHATTAN,Noise - Residential,1316
2019-01-02,MANHATTAN,Street Condition,1316
2019-01-02,MANHATTAN,Street Light Condition,1316
2019-01-02,MANHATTAN,Request Large Bulky Item Collection,1316
2019-01-02,QUEENS,complaints,1887
2019-01-02,QUEENS,Request Large Bulky Item Collection,1887
2019-01-02,QUEENS,HEAT/HOT WATER,1887
2019-01-02,QUEENS,Illegal Parking,1887
2019-01-02,QUEENS,Blocked Driveway,1887
2019-01-02,QUEENS,Street Condition,1887
2019-01-02,STATEN ISLAND,complaints,649
2019-01-02,STATEN ISLAND,Water System,649
2019-01-02,STATEN ISLAND,Request Large Bulky Item Collection,649
2019-01-02,STATEN ISLAND,Electronics Waste,649
2019-01-02,STATEN ISLAND,Street Condition,649
2019-01-02,STATEN ISLAND,Illegal Parking,649
2019-01-02,Unspecified,complaints,148
2019-01-02,Unspecified,Benefit Card Replacement,148
2019-01-02,Unspecified,Highway Condition,148
2019-01-02,Unspecified,DOF Parking - Payment Issue,148
2019-01-02,Unspecified,HPD Literature Request,148
2019-01-02,Unspecified,Question,148
2019-01-03,Unspecified,Question,132
2019-01-03,NYC,HEAT/HOT WATER,7844
2019-01-03,NYC,Request Large Bulky Item Collection,7844
2019-01-03,NYC,Illegal Parking,7844
2019-01-03,NYC,Blocked Driveway,7844
2019-01-03,NYC,Noise - Residential,7844
2019-01-03,BRONX,complaints,1452
2019-01-03,BRONX,HEAT/HOT WATER,1452
2019-01-03,BRONX,UNSANITARY CONDITION,1452
2019-01-03,BRONX,Noise - Residential,1452
2019-01-03,BRONX,PAINT/PLASTER,1452
2019-01-03,BRONX,Blocked Driveway,1452
2019-01-03,BROOKLYN,complaints,2542
2019-01-03,BROOKLYN,HEAT/HOT WATER,2542
2019-01-03,BROOKLYN,Request Large Bulky Item Collection,2542
2019-01-03,BROOKLYN,Illegal Parking,2542
2019-01-03,BROOKLYN,Blocked Driveway,2542
2019-01-03,BROOKLYN,Noise - Residential,2542
2019-01-03,MANHATTAN,complaints,1422
2019-01-03,MANHATTAN,HEAT/HOT WATER,1422
2019-01-03,MANHATTAN,Noise,1422
2019-01-03,MANHATTAN,Noise - Residential,1422
2019-01-03,MANHATTAN,Illegal Parking,1422
2019-01-03,MANHATTAN,UNSANITARY CONDITION,1422
2019-01-03,QUEENS,complaints,1803
2019-01-03,QUEENS,Request Large Bulky Item Collection,1803
2019-01-03,QUEENS,Illegal Parking,1803
2019-01-03,QUEENS,Blocked Driveway,1803
2019-01-03,QUEENS,HEAT/HOT WATER,1803
2019-01-03,QUEENS,Derelict Vehicle,1803
2019-01-03,STATEN ISLAND,complaints,493
2019-01-03,STATEN ISLAND,Electronics Waste,493
2019-01-03,STATEN ISLAND,Street Condition,493
2019-01-03,STATEN ISLAND,Request Large Bulky Item Collection,493
2019-01-03,STATEN ISLAND,Illegal Parking,493
2019-01-03,STATEN ISLAND,Missed Collection (All Materials),493
2019-01-03,Unspecified,complaints,132
2019-01-03,Unspecified,Benefit Card Replacement,132
2019-01-03,Unspecified,HPD Literature Request,132
2019-01-03,Unspecified,DOF Parking - Payment Issue,132
2019-01-03,Unspecified,Highway Condition,132
2019-01-03,Unspecified,Question,132
